Prix,old_price,Type,pays,region,Title,Rating,voyageurs,rooms,bed,bathroom,period_start,period_end
2 920 € ,6 084 €,cottage,Espagne,Madrid,PURE LODGE à Patones de Arriba,"4,97 ·",9 voyageurs, · 3 chambres, · 8 lits, · 2 salles de bain,31/07/2024,31/08/2024
1 500 € ,1 705 €,hébergement,Espagne,Trevélez,La Casa del Charquillo à Trevélez,"4,89 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 968 € ,3 280 €,loft,Espagne,Madrid,Loft confortable avec vue imprenable et excellent emplacement,"4,81 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 353 € ,2 870 €,loft,Espagne,Séville,LOFT MODERNE À SÉVILLE,"4,96 ·",4 voyageurs, · 2 chambres, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 129 € ,2 505 €,appartement,Espagne,Madrid,Studio élégant et confortable,"4,83 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 395 € ,2 325 €,appartement en résidence,Espagne,Albuñol,"Appartement exclusif avec piscine, superbes vues, à 6 km de la plage","4,67 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 736 € ,2 170 €,hébergement,Espagne,Lanjarón,Belle et spacieuse maison seigneuriale à Lanjarón.,"4,87 ·",5 voyageurs, · 2 chambres, · 4 lits, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
328 € ,1 312 €,cabane,Espagne,Bicorp,Refuge dans la Sierra de Bicorp,"5,0 ·",13 voyageurs, · 1 chambre, · 0 salle de bain,Hôte depuis 2 ans,31/07/2024,31/08/2024
2 047 € ,2 274 €,loft,Espagne,Madrid,"Loft ✨confortable ~ 15' vers le centre-ville 🚇 ~ A/C, WiFi","4,86 ·",4 voyageurs, · 2 chambres, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 635 € ,7 750 €,appartement,Espagne,València,"Super LOFT, PISCINE+TERRASSE+BILLARD+WIFI","4,72 ·",3 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 592 € ,3 184 €,loft,Espagne,Séville,"Designer, studio de style industriel","4,83 ·",2 voyageurs, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 028 € ,1 285 €,Tiny house,Espagne,Murcie,Minicasa à 5 min de Murcie avec Terrasse privée,"4,90 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 720 € ,2 150 €,appartement,Espagne,Grenade,Bel appartement dans l'Albayzin,"4,84 ·",4 voyageurs, · 2 chambres, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 871 € ,2 495 €,appartement,Espagne,Madrid,"Studio Antón Martín, 20 m ² , canapé-lit,","4,81 ·",3 voyageurs, · Studio, · 1 salle de bain,Hôte depuis 7 ans,31/07/2024,31/08/2024
3 341 € ,3 930 €,appartement,Espagne,Malaga,Malagajara Sky - Appartement mansardé sous le ciel de Malaga,"4,86 ·",3 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 802 € ,2 815 €,loft,Espagne,Madrid,"LOFT CHIC Pza. Commode, Malasaña/Comte Duque","4,85 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 200 € ,2 790 €,maison d'hôtes,Espagne,Nigüelas,Cortijo de Amor,"5,0 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 12 ans,31/07/2024,31/08/2024
977 € ,1 395 €,Tiny house,Espagne,Almería,Cachot romantique pour 2 en Andalousie rurale,"4,77 ·",2 voyageurs, · 1 lit, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 649 € ,2 660 €,appartement en résidence,Espagne,Madrid,Appartement d'une chambre à Madrid !,"4,84 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Hôte depuis 2 ans,31/07/2024,31/08/2024
1 109 € ,1 706 €,Chambre,Espagne,Madrid,Chambre centre Madrid avec salle de bain privée-Chueca,"4,91 ·",1 chambre, · Salle de bain privée attenante,Superhôte, · Hôte depuis 2 ans,31/07/2024,31/08/2024
1 230 € ,1 640 €,logement de vacances,Espagne,Becerril de la Sierra,Luxe dans la Sierra.,"4,82 ·",2 voyageurs, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 380 € ,2 759 €,appartement,Espagne,Madrid,La maison de Rosita à Malasaña,"4,90 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
2 082 € ,2 449 €,appartement,Espagne,Madrid,"NEW, LAVAPIES. PROVISIONS","4,87 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
2 954 € ,4 544 €,appartement en résidence,Espagne,Benalmádena,Appartement Eurogolf Dana I,"4,83 ·",3 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 768 € ,3 690 €,appartement,Espagne,Madrid,"Confortable,central,touristique et calme","4,86 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 400 € ,3 429 €,appartement,Espagne,Madrid,Magnifique studio très confortable et lumineux.,"4,82 ·",4 voyageurs, · Studio, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 467 € ,2 574 €,Tiny house,Espagne,Madrid,Micro-maison avec jardin indépendant,"4,88 ·",2 voyageurs, · 2 lits, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 547 € ,2 275 €,appartement,Espagne,Madrid,Studio sous le toit dans le « vieux » Madrid,"4,92 ·",2 voyageurs, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 736 € ,2 480 €,loft,Espagne,Madrid,Loft moderne au cœur de Madrid,"4,88 ·",3 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
1 473 € ,2 894 €,appartement,Espagne,Madrid,Appartement confortable dans le quartier de Salamanque,"4,21 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 953 € ,2 170 €,appartement,Espagne,Madrid,STUDIO À MALASAÑA. DISPONIBLE À LONG TERME,"5,0 ·",1 voyageur, · Studio, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 730 € ,2 883 €,loft,Espagne,Madrid,Appartement confortable du palais royal,"4,83 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 049 € ,3 554 €,appartement,Espagne,Madrid,"Sunny apartment, Chueca, Gran Vía. Deux balcons !","5,0 ·",2 voyageurs, · 1 chambre, · 1 salle de bain,Superhôte,31/07/2024,31/08/2024
2 015 € ,2 289 €,appartement,Espagne,Madrid,Apart. Chamartín 1,"4,91 ·",3 voyageurs, · 1 chambre, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 161 € ,2 542 €,loft,Espagne,Madrid,Beau loft à Madrid Rio ! ! ! ! ! ! ! !,"4,92 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain et 1 toilette,31/07/2024,31/08/2024
3 472 € ,4 340 €,appartement en résidence,Espagne,Nerja,GMMHoliday Apartment Torrecilla Area/ pool,"4,92 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 463 € ,2 737 €,appartement,Espagne,Madrid,Appartement branché à Barrio Salamanca (proche de l'IE MBA),"4,92 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 015 € ,2 289 €,appartement,Espagne,Madrid,Apart. Chamartín 1.1,"4,93 ·",3 voyageurs, · 1 chambre, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 919 € ,3 695 €,appartement,Espagne,Benalmádena,"B enalmadena costa, promenade","4,67 ·",3 voyageurs, · Studio, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 177 € ,3 110 €,appartement,Espagne,Madrid,Malasaña - Centre ville de Madrid,"4,91 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 232 € ,3 720 €,appartement,Espagne,Madrid,Appartement neuf et confortable dans la vieille ville,"4,97 ·",4 voyageurs, · 1 chambre, · 2 lits, · 2 salles de bain,31/07/2024,31/08/2024
1 649 € ,2 998 €,appartement,Espagne,Grenade,Las Rejas Suite Granada CENTRE.. ! ! !,"4,91 ·",4 voyageurs, · 2 chambres, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 444 € ,2 716 €,appartement,Espagne,Madrid,Plaza Mayor bel appartement extérieur (Calatrava),"5,0 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 910 € ,2 728 €,suite,Espagne,Benalmádena,Boho Country Studio avec vue sur la mer,"4,83 ·",1 voyageur, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 612 € ,2 015 €,appartement,Espagne,Madrid,Appartement rénové à Madrid Rio,"4,68 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 015 € ,4 030 €,appartement,Espagne,Madrid,Appartement moderne complet quartier cool de Madrid,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 480 € ,3 100 €,appartement,Espagne,Madrid,Bel appartement avec balcon Wifi/climatiseur,"4,90 ·",4 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 431 € ,2 751 €,Tiny house,Espagne,Madrid,Chambre d'hôtes avec jardin à Madrid,"4,85 ·",2 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
1 411 € ,2 170 €,loft,Espagne,Madrid,CHAMBRE dans LE LOFT/LE centre-ville.,"4,97 ·",1 voyageur, · 1 chambre, · 1 lit, · 1 salle de bain partagée,31/07/2024,31/08/2024
2 208 € ,4 014 €,cabane,Espagne,Monda,Cabane en bois « The Luv Shack » avec spa à bulles,"4,96 ·",2 voyageurs, · Studio, · 3 lits, · 1 salle de bain,31/07/2024,31/08/2024
2 232 € ,2 790 €,appartement,Espagne,Madrid,Magnifique appartement avec piscine à Madrid par SharingCo,"4,14 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
1 815 € ,2 630 €,appartement,Espagne,Madrid,Appartement au « Vieux » Madrid des Autrichiens II,"5,0 ·",2 voyageurs, · 1 chambre, · 1 lit, · 1 salle de bain,31/07/2024,31/08/2024
2 251 € ,3 751 €,appartement,Espagne,Madrid,Appartement récemment rénové à Barrio las Letras,"4,96 ·",3 voyageurs, · 1 chambre, · 2 lits, · 1 salle de bain,31/07/2024,31/08/2024
615 € ,961 €,Chambre,Espagne,Madrid,Chambre dans une jolie maison Santa Rosa Street Madrid,"4,86 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 11 ans,31/07/2024,31/08/2024
615 € ,961 €,Chambre,Espagne,Madrid,Chambre dans une jolie maison Santa Rosa Street Madrid,"4,86 ·",1 lit double, · Salle de bain partagée,Superhôte, · Hôte depuis 11 ans,31/07/2024,31/08/2024
